,date,Close,High,Low,pred,hold,buy,sell
0,2015-07-30,287.72198486328125,290.1260070800781,286.5679931640625,1,0.3300873,0.41710314,0.25280952
1,2015-07-31,284.6499938964844,288.9590148925781,282.343994140625,0,0.40702382,0.3500728,0.24290338
2,2015-08-01,281.6010131835937,284.9320068359375,278.11199951171875,1,0.3138348,0.39158005,0.2945851
3,2015-08-02,282.614013671875,283.0320129394531,277.52899169921875,1,0.29529127,0.35758162,0.34712714
4,2015-08-03,281.2269897460937,285.47100830078125,280.2330017089844,0,0.554734,0.34535283,0.09991322
5,2015-08-04,285.2179870605469,285.7149963378906,281.2250061035156,1,0.3191953,0.36422104,0.31658363
6,2015-08-05,281.8819885253906,285.5010070800781,281.4880065917969,0,0.5973885,0.1509445,0.25166702
7,2015-08-06,278.5769958496094,281.906005859375,278.40301513671875,0,0.812738,0.06846555,0.11879641
8,2015-08-07,279.5849914550781,280.3919982910156,276.3659973144531,1,0.27721414,0.49179113,0.23099479
9,2015-08-08,260.9970092773437,279.9280090332031,260.7099914550781,0,0.45163617,0.3047064,0.24365747
10,2015-08-09,265.0830078125,267.00299072265625,260.4679870605469,0,0.7263326,0.100761466,0.17290588
11,2015-08-10,264.4700012207031,267.0320129394531,262.59600830078125,1,0.3211549,0.37884212,0.30000296
12,2015-08-11,270.385986328125,270.385986328125,264.093994140625,0,0.57510036,0.16893336,0.25596625
13,2015-08-12,266.3760070800781,270.6730041503906,265.468994140625,0,0.40125892,0.36197987,0.23676126
14,2015-08-13,264.0799865722656,266.23199462890625,262.84100341796875,1,0.3598883,0.36684212,0.27326956
15,2015-08-14,265.67999267578125,267.46600341796875,261.4779968261719,0,0.38812482,0.305921,0.30595422
16,2015-08-15,261.5509948730469,266.6669921875,261.2959899902344,0,0.3653646,0.35840023,0.27623513
17,2015-08-16,258.5069885253906,262.44000244140625,257.0409851074219,0,0.39107323,0.3525238,0.25640306
18,2015-08-17,257.9760131835937,260.5050048828125,257.11700439453125,0,0.57680273,0.112634726,0.31056252
19,2015-08-18,211.07899475097656,257.9930114746094,211.07899475097656,1,0.3330936,0.35984,0.3070664
20,2015-08-19,226.6840057373047,237.40899658203125,222.76600646972656,1,0.31136265,0.42271468,0.26592273
21,2015-08-20,235.3500061035156,237.3650054931641,226.8990020751953,0,0.43565533,0.36194447,0.20240018
22,2015-08-21,232.56900024414065,236.4320068359375,231.7239990234375,1,0.37230366,0.45124072,0.17645559
23,2015-08-22,230.38999938964844,234.95700073242188,222.70399475097656,0,0.3843131,0.3321406,0.2835463
24,2015-08-23,228.16900634765625,232.7050018310547,225.5800018310547,0,0.325419,0.33956417,0.33501685
25,2015-08-24,210.4949951171875,228.13900756835935,210.4429931640625,0,0.7255084,0.14696786,0.12752381
26,2015-08-25,221.60899353027344,226.3209991455078,199.56700134277344,1,0.3619385,0.38617802,0.25188348
27,2015-08-26,225.83099365234372,231.18299865722656,220.20399475097656,0,0.36540022,0.33462912,0.29997063
28,2015-08-27,224.7689971923828,228.64300537109372,223.6840057373047,1,0.38663602,0.38931096,0.22405304
29,2015-08-28,231.39599609375,235.218994140625,220.92599487304688,1,0.33486262,0.43163195,0.23350543
30,2015-08-29,229.77999877929688,233.2220001220703,227.3300018310547,0,0.48134273,0.29855052,0.2201067
31,2015-08-30,228.7610015869141,232.0679931640625,226.2469940185547,1,0.34438974,0.3611471,0.29446316
32,2015-08-31,230.05599975585935,231.95599365234372,225.9149932861328,0,0.422445,0.24420474,0.33335018
33,2015-09-01,228.1210021972656,231.21600341796875,226.8600006103516,0,0.38249013,0.31529716,0.30221272
34,2015-09-02,229.28399658203125,230.57699584960935,226.4750061035156,0,0.41532537,0.3438029,0.24087174
35,2015-09-03,227.18299865722656,229.60499572753903,226.66700744628903,0,0.38967663,0.31823772,0.29208562
36,2015-09-04,230.29800415039065,230.8999938964844,227.05099487304688,0,0.4731916,0.2860806,0.24072783
37,2015-09-05,235.0189971923828,236.14300537109372,229.4429931640625,0,0.3611055,0.35422716,0.28466737
38,2015-09-06,239.83999633789065,242.91200256347656,234.68099975585935,1,0.37423697,0.3767418,0.24902125
39,2015-09-07,239.8470001220703,242.1060028076172,238.7220001220703,1,0.32001534,0.36254588,0.31743878
40,2015-09-08,243.60699462890625,245.781005859375,239.6779937744141,2,0.32762596,0.28232065,0.39005345
41,2015-09-09,238.16799926757807,244.4160003662109,237.8209991455078,0,0.8249592,0.068996355,0.106044464
42,2015-09-10,238.4770050048828,241.29299926757807,235.7910003662109,0,0.8881899,0.049779654,0.06203047
43,2015-09-11,240.10699462890625,241.16900634765625,238.32899475097656,0,0.37772542,0.2879171,0.33435747
44,2015-09-12,235.22900390625,240.12399291992188,234.7539978027344,1,0.26720592,0.4027873,0.33000684
45,2015-09-13,230.51199340820312,235.93499755859372,229.33200073242188,0,0.3751075,0.35512078,0.26977172
46,2015-09-14,230.6439971923828,232.44000244140625,227.96099853515625,0,0.50974053,0.18993005,0.3003294
47,2015-09-15,230.3040008544922,259.1820068359375,229.82200622558597,0,0.6463282,0.10843471,0.24523702
48,2015-09-16,229.09100341796875,231.21499633789065,227.4019927978516,1,0.34442058,0.39346096,0.26211846
49,2015-09-17,229.80999755859372,230.28500366210935,228.92599487304688,1,0.30299824,0.37418962,0.32281214
50,2015-09-18,232.9750061035156,234.35299682617188,232.18499755859372,1,0.23274614,0.51657397,0.25067997
51,2015-09-19,231.4929962158203,233.2050018310547,231.0890045166016,0,0.5396062,0.15779911,0.3025947
52,2015-09-20,231.2120056152344,232.3650054931641,230.91000366210935,0,0.9137725,0.04863372,0.037593722
53,2015-09-21,227.0850067138672,231.2169952392578,226.52099609375,0,0.41975576,0.2624309,0.31781337
54,2015-09-22,230.6179962158203,232.3860015869141,225.11700439453125,0,0.39230436,0.34216774,0.2655279
55,2015-09-23,230.2830047607422,231.8350067138672,229.59100341796875,0,0.54327893,0.27201822,0.18470284
56,2015-09-24,234.5290069580078,235.6490020751953,230.2949981689453,0,0.4487384,0.28379187,0.26746973
57,2015-09-25,235.1439971923828,237.427001953125,233.6840057373047,0,0.42365748,0.22046453,0.355878
58,2015-09-26,234.33999633789065,235.4029998779297,233.3580017089844,0,0.46844637,0.21242711,0.3191265
59,2015-09-27,232.7570037841797,234.5260009765625,232.4759979248047,0,0.5330494,0.2810435,0.18590716
60,2015-09-28,239.1419982910156,239.3390045166016,232.4669952392578,1,0.3444666,0.38867804,0.2668554
